sku,nombre,imagen_local,supabase_url
"SIL001352","MOLDE SILI DONAS 6CAV 32x22x3cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001352.jpg",""
"4-0491","MOLDE SILI FLOR MARIPOSA Y CATARINA 15CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-0491.jpg",""
"SIL000828","MOLDE SILI COPO CUPCAKE 15 CAV 20X11X1.5 CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL000828.jpg",""
"MDS0036","MOLDE SILI ROSCA 3D","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MDS0036.jpg",""
"MDS0036","MOLDE SILI ROSCA 3D","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MDS0036.jpg",""
"2105-3268","MOLDE SIL COPO DE NIEVE AZUL CIELO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/2105-3268.jpg",""
"SIL001390","MOLDE SIL SANTA REGALOBOTA 12 CAV 21X10X1CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001390.jpg",""
"2105-3268","MOLDE SIL COPO DE NIEVE AZUL CIELO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/2105-3268.jpg",""
"SIL001390","MOLDE SIL SANTA REGALOBOTA 12 CAV 21X10X1CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001390.jpg",""
"SIL001216","MOLDE SILI ROSA 15cav 28x17cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001216.jpg",""
"5430","MOLDE SILICON ARBOL NAVIDAD 28X19X6 CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5430.jpg",""
"5432","MOLDE SILICON ESFERA GIGANTE 26X22 CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5432.jpg",""
"2384","MOLDE SILICON SANTA CLAUS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/2384.jpg",""
"MDS3043","BARRA CHOCOLATE UBAI","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MDS3043.jpg",""
"MDS7993","BARRA CHOCOLATE DOBLE","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MDS7993.jpg",""
"4-1732","MOLDE SILI FRANJAS CH ZIG ZAG","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-1732.jpg",""
"7056","MOLDE SILI DONA " PETITE" 18 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/7056.jpg",""
"SIL000826","MOLDE SILI CAMPANA REGALO 12 CAV 20X10X1.5CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL000826.jpg",""
"570-1182","MOLDE HIELO FLOTANTE COPO NIEV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/570-1182.jpg",""
"570-1181","MOLDE HIELO FLOTANTE BASTON NAVIDEÑO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/570-1181.jpg",""
"63-012","MOLDE HIELO CORAZON 18 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-012.jpg",""
"SIL001233","MOLDE SILI PANQUE 24x10x5cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001233.jpg",""
"SIL001336","MOLDE SILI P/CHOCO DOBLE CORAZON 15CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001336.jpg",""
"SIL001211","MOLDE SILI CORAZONES 55cav 18X10x1cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001211.jpg",""
"5-5053","MOLDE SIL FANTASIA NAVIDEÑA 8CV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5-5053.jpg",""
"SIL0000099 1","MOLDE SILI CORAZON DE FLORES 5X5X1.3 CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL0000099 1.jpg",""
"MDS1901","MOLDE SILI MACARRON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MDS1901.jpg",""
"MDS1429","MOLDE SILICON ESTRELLA CORAZON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MDS1429.jpg",""
"983614","MOLDE SILI CORAZON GELATINA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/983614.jpg",""
"MDS1429","MOLDE SILICON ESTRELLA CORAZON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MDS1429.jpg",""
"5-5211","MOLDE SILICON ESFERAS NAVIDAD 6 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5-5211.jpg",""
"X003FJ25F7","MOLDE SIL AIR FRYER 1PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/X003FJ25F7.jpg",""
"7877770715112","MOLDE SILICON ROSA JENGIBRE","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/7877770715112.jpg",""
"888556166766","MOLDE SILICON MORADO HUEVO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/888556166766.jpg",""
"70896057600","MOLDE SILICON CONEJO 12 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896057600.jpg",""
"70896094964","MOLDE GAMER VIDEOJUEGOS SILICON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896094964.jpg",""
"70896095169","MOLDE SILICON CONCHA 15 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896095169.jpg",""
"7877770715037","MOLDE SILICON DONA 4CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/7877770715037.jpg",""
"7877770715143","MOLDE SILICON HELLO KITTY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/7877770715143.jpg",""
"SIL001133","MOLDE SILI P/CHOCO BARRAS CHOCO 12cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001133.jpg",""
"0700825040865","MOLDE SILICON BROWNIE C/24 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/0700825040865.jpg",""
"7072","MOLDE SILICON IMPERIAL","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/7072.jpg",""
"700825042222","MOLDE SILICON ESPIRAL","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/700825042222.jpg",""
"190325041207","MOLDE SILICON MOÑO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/190325041207.jpg",""
"DTEM297","MOLDE SILICON PANDITAS C/PIPETA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/DTEM297.jpg",""
"SIL00242","MOLDE SIL DC LUNA C/MURCIELAGOS 00242","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL00242.jpg",""
"SIL99106","MOLDE SIL DC LETREROS HALLOWEEN 99106","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL99106.jpg",""
"SIL99108","MOLDE SIL DC HALLOWEEN TUMBAS 99108","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL99108.jpg",""
"SIL00038","MOLDE SIL DC MURCIELAGO CALABAZA 00038","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL00038.jpg",""
"2105-0-0105","MOLDE SILICON FANTASMAS CON 6 CAVIDADES","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/2105-0-0105.jpg",""
"191010486","MOLDE SILICON TELARAÑA C/10 CAVIDADES","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/191010486.jpg",""
"70896357199","MOLDE SILICON HUEVO C/12 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896357199.jpg",""
"HGCH378","MOLDE SILICON DINO CIRCULAR CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH378.jpg",""
"HGCH397","MOLDE SILICON BABY SHOWER CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH397.jpg",""
"HGCH551","DINOSAURIOS SILICON PALETA CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH551.jpg",""
"HGCH542","MOLDE SILICON PARIS CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH542.jpg",""
"HGCH464","MOLDE SILICON NUBES","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH464.jpg",""
"HGCH008","DINOSAURIOS CAFÉ CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH008.jpg",""
"HGCH434","MOLDE SILICON SIRENA CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH434.jpg",""
"MSC1429","MOLDE SIL HOJA OTOÑO CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC1429.jpg",""
"HGCH1121","MOLDE SIL HOJA CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH1121.jpg",""
"HGCH1331","MOLDE SIL BIGOTE CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH1331.jpg",""
"172","MOLDE SIL CEREZA CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/172.jpg",""
"HGCH369","MOLDE SIL COLA DE SIRENA CHERRY 18 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH369.jpg",""
"HGCH300","MAGNUM 3 CAV CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH300.jpg",""
"HGCH454","MOLDE SIL ABC CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH454.jpg",""
"HGCH007","MOLDE SILICON ROSAS BLANCO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH007.jpg",""
"CRT0003","MOLDE SILICON CORAZON BEIGE","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CRT0003.jpg",""
"CRT0004","MOLDE SILICON CORAZON LILA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CRT0004.jpg",""
"CRT0005","MOLDE SILICON CHOCOLATE VERDE","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/CRT0005.jpg",""
"HGCH311","MAGNUM DE CORAZON CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH311.jpg",""
"HGCH502","MOLDE SILICON CORAZON CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/HGCH502.jpg",""
"70896685162","MOLDE ROSA SILICON 12 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896685162.jpg",""
"70896455871","MOLDE MINI TARTAS SILICON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896455871.jpg",""
"SIL001213","MOLDE SILI HUELLAS 6cav 18x13cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001213.jpg",""
"6971159305034","MOLDE SIL HUESO-HUELLA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/6971159305034.jpg",""
"OTS000113","MOLDE PLAST P/CHOCO NUMEROS 30 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/OTS000113.jpg",""
"63-205","M.SILICON  BRAZALETE  PERLAS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/63-205.jpg",""
"SIL001080","PALETA SILICON BLANCA 4 MARCA ARCO 4 CAV 9x4.5x2cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001080.jpg",""
"SIL000650","JGO CAPACILLO SILI CORAZON 12 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL000650.jpg",""
"SIL001148","MOLDE SILI NUMEROS DECORADOS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001148.jpg",""
"SIL001187","MOLDE SILI BARRA GRANOS DE CAFÉ 16x8cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001187.jpg",""
"1-140","MOLDE AA MUFFIN JUMBO 6 CAV (8X3.5 cm) BC","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/1-140.jpg",""
"SIL001232","MOLDE SILI NEGRO PANQUE 22x10x6cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001232.jpg",""
"070896074683","MOLDE DONA 6 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/070896074683.jpg",""
"070896094797","MOLDE BLOQUES LADRILLOS SILICON WILTON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/070896094797.jpg",""
"070896094964","MOLDE GAMER VIDEOJUEGOS SILICON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/070896094964.jpg",""
"190325041006","MOLDE SILICON NIÑO JENGIBRE 26X20 CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/190325041006.jpg",""
"190325041572","MOLDE SILICON DONA C/6 CAV VERDE","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/190325041572.jpg",""
"190325041574","MOLDE SILICON DONA C/6 CAV ROJO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/190325041574.jpg",""
"4895217152989","MOLDE SILICON MUÑECO JENGIBRE DORADO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4895217152989.jpg",""
"4895217153139","MOLDE SILICON REDONDO 23CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4895217153139.jpg",""
"070896249234","MOLDE SILICON CUADRO MINI BROWNIES","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/070896249234.jpg",""
"070896325723","MOLDE SILICON TEXTURA MADERA Y PIEDRA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/070896325723.jpg",""
"M2105-8328","JGO MINI MOLDE SIL COPO DE NIEVE 6 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/M2105-8328.jpg",""
"5-5433","JGO MOLDE SILICON TRONCO 3 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5-5433.jpg",""
"4-2160","MOLDE SILI CORONA PRINCESA 18X10 CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-2160.jpg",""
"SIL001210","MOLDE SILI PANQUE 23x10x6cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001210.jpg",""
"DTEM367","MOLDE DE SILICON MAGNUM MINI 8 CAVIDADES CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/DTEM367.jpg",""
"DTEM457","MOLDE DE SILICON MEDIA ESFERA 15 CAVIDAD 4 CM CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/DTEM457.jpg",""
"MSC1428","LOVE 14X6CMC CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC1428.jpg",""
"MSC1285","SEXY VARIOS CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC1285.jpg",""
