nombre,descripcion,precio,departamento,categoria,clave1,clave2,codigo_sat,disponible,destacado,temporada
BASE GIRATORIA PLAST BLANCA Ø28x6.5 cm,"Base giratoria de plástico blanco con diámetro Ø28cm y grosor 6,5cm, ideal para mesas temporales y eventos.",158.0,Herramientas,Bases giratorias,TOL000931,4895217107637,48101817,True,False,False
BASE GIRATORIA METAL BASE ROSA Ø31 CM,"Base giratoria metálica rosa, Ø31 cm, perfecta para decorar y mover con facilidad cualquier objeto o jarrón en tu hogar.",1135.0,Herramientas,Bases giratorias,4-2896,7501553428967,48101817,True,False,False
BASE GIRATORIA ALUMINIO,"Base giratoria aluminio resistente, ligera y fácil de montar para una cocina perfecta y organizada en cualquier espacio.",1068.0,Herramientas,Bases giratorias,902212802002,902212802002,52151600,True,False,False
"BASE GIRATORIA PLASTICO 11.5X4""","Base giratoria plástica 11,5x4"" ideal para mesas de café, escritorios y eventos, fácil de montar y desmontar.",256.0,Herramientas,Bases giratorias,700898021051,700898021051,52151600,True,False,False
MINI BASE GIRATORIA ROSA Ø12 cm,"Base giratoria rosa pequeña Ø12 cm, perfecta para adornar tu mesa con un toque de elegancia y color cálido.",110.0,Herramientas,Bases giratorias,TOL000843,4895217106753,48101817,True,False,False
"BASE GIRATORIA ALUMINIO 12""","Base giratoria alta calidad, resistente al calor y fácil de usar, ideal para cocina y buffet.",1900.0,Herramientas,Bases giratorias,700893201214,700893201214,52151600,True,False,False
BASE GIRATORIA PLAST ROSA Ø28x6.5 cm,"Base giratoria plástica rosa, Ø28x6.5 cm, perfecta para decorar mesas y soportar objetos de diferentes tamaños.",158.0,Herramientas,Bases giratorias,TOL000842,4895217106746,48101817,True,False,False
BASE GIRATORIA PLAST BASE AZUL Ø31 CM,"Base giratoria plástica azul de 31 cm, ideal para crear estructuras divertidas y complejas en tu espacio.",695.0,Herramientas,Bases giratorias,4-2876,7501553428769,48101817,True,False,False
BASE GIRATORIA PLASTICO CERRADURA CON TAMAÑOS,"Bases giratorias plásticas con cerradura, variadas tamaños para decorar y personalizar cualquier evento o reunión.",548.0,Herramientas,Bases giratorias,8022012,902218022012,52151600,True,False,False
BASE GIRATORIA FIBRA DE CARBONO 30X10CM,"Base giratoria con fibra de carbono resistente y duradera, fácil de instalar y ajustar, para decoraciones y eventos.",790.0,Herramientas,Bases giratorias,8022010,802-2010,52151600,True,False,False
BASE GIRATORIA PLAST ROSA COLORISMA,"Base giratoria plastica rosa colorisma, fácil de montar y desmontar, perfecta para partidos de mesa y decoraciones.",160.0,Herramientas,Bases giratorias,COLR0001,COLR0001,48101817,True,False,False
