Errores detectados (serán omitidos)
Fila	Tipo	Detalle
163	Campo obligatorio vacío	Campos obligatorios vacíos: precio, departamento, categoria, clave1
164	Campo obligatorio vacío	Campos obligatorios vacíos: precio, departamento, categoria, clave1
3233	Campo obligatorio vacío	Campos obligatorios vacíos: nombre
81	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
203	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
226	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
227	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
228	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
257	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
258	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
259	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
260	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
261	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
307	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
310	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
311	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
332	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
507	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
608	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
633	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
677	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
771	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
988	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
989	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1092	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1093	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1094	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1095	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1096	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1153	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1704	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1705	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1706	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1712	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
1924	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2005	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2063	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2064	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2065	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2066	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2067	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2068	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2093	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2094	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2095	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2096	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2097	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2143	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2361	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2664	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2715	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2792	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
2991	Error al insertar	Error al insertar producto: duplicate key value violates unique constraint "products_sku_key"
