nombre,descripcion,precio,departamento,categoria,clave1,clave2,codigo_sat,disponible,destacado,temporada
BASE GIRATORIA PLAST BLANCA Ø28x6.5 cm,BASE GIRATORIA PLAST BLANCA Ø28x6.5 cm,158.0,Herramientas,Bases giratorias,TOL000931,4895217107637,48101817,True,False,False
BASE GIRATORIA METAL BASE ROSA Ø31 CM,BASE GIRATORIA METAL BASE ROSA Ø31 CM,1135.0,Herramientas,Bases giratorias,4-2896,7501553428967,48101817,True,False,False
BASE GIRATORIA ALUMINIO,BASE GIRATORIA ALUMINIO,1068.0,Herramientas,Bases giratorias,902212802002,902212802002,52151600,True,False,False
"BASE GIRATORIA PLASTICO 11.5X4""","BASE GIRATORIA PLASTICO 11.5X4""",256.0,Herramientas,Bases giratorias,700898021051,700898021051,52151600,True,False,False
MINI BASE GIRATORIA ROSA Ø12 cm,MINI BASE GIRATORIA ROSA Ø12 cm,110.0,Herramientas,Bases giratorias,TOL000843,4895217106753,48101817,True,False,False
"BASE GIRATORIA ALUMINIO 12""","BASE GIRATORIA ALUMINIO 12""",1900.0,Herramientas,Bases giratorias,700893201214,700893201214,52151600,True,False,False
BASE GIRATORIA PLAST ROSA Ø28x6.5 cm,BASE GIRATORIA PLAST ROSA Ø28x6.5 cm,158.0,Herramientas,Bases giratorias,TOL000842,4895217106746,48101817,True,False,False
BASE GIRATORIA PLAST BASE AZUL Ø31 CM,BASE GIRATORIA PLAST BASE AZUL Ø31 CM,695.0,Herramientas,Bases giratorias,4-2876,7501553428769,48101817,True,False,False
BASE GIRATORIA PLASTICO CERRADURA CON TAMAÑOS,BASE GIRATORIA PLASTICO CERRADURA CON TAMAÑOS,548.0,Herramientas,Bases giratorias,8022012,902218022012,52151600,True,False,False
BASE GIRATORIA FIBRA DE CARBONO 30X10CM,BASE GIRATORIA FIBRA DE CARBONO 30X10CM,790.0,Herramientas,Bases giratorias,8022010,802-2010,52151600,True,False,False
BASE GIRATORIA PLAST ROSA COLORISMA,BASE GIRATORIA PLAST ROSA COLORISMA,160.0,Herramientas,Bases giratorias,COLR0001,COLR0001,48101817,True,False,False
BASE GIRATORIA PLAST BLANCA COLORISMA,BASE GIRATORIA PLAST BLANCA COLORISMA,160.0,Herramientas,Bases giratorias,COLR0002,COLR0002,48101817,True,False,False
BASE GIRATORIA PLAST VERDE COLORISMA,BASE GIRATORIA PLAST VERDE COLORISMA,160.0,Herramientas,Bases giratorias,COLR0003,COLR0003,48101817,True,False,False
BASE GIRATORIA ECO MX,BASE GIRATORIA ECO MX,150.0,Herramientas,Bases giratorias,666661686520,666661686520,48101817,True,False,False
BASE GIRATORIA METAL 25CM MX,BASE GIRATORIA METAL 25CM MX,650.0,Herramientas,Bases giratorias,666661686300,666661686300,48101817,True,False,False
