clave1 *,clave2,descripción *,departamento,categoria,(s/n) inventariable,unidad,costo,precio1,(s/n) precio con impuestos,(s/n) imp IVA (8%),(s/n) imp IVA (16%),(s/n) granel,existencia,,
TOL000931,4895217107637,BASE GIRATORIA PLAST BLANCA Ø28x6.5 cm,Herramientas,Bases giratorias,SI,Pieza,,, $158.00 ,,,,,,48101817
4-2896,7501553428967,BASE GIRATORIA METAL BASE ROSA Ø31 CM,Herramientas,Bases giratorias,SI,Pieza,,," $1,135.00 ",,,,,,48101817
902212802002,902212802002,BASE GIRATORIA ALUMINIO,Herramientas,Bases giratorias,SI,Pieza,,," $1,068.00 ",,,,,,52151600
700898021051,700898021051,"BASE GIRATORIA PLASTICO 11.5X4""",Herramientas,Bases giratorias,SI,Pieza,,, $256.00 ,,,,,,52151600
TOL000843,4895217106753,MINI BASE GIRATORIA ROSA Ø12 cm,Herramientas,Bases giratorias,SI,Pieza,,, $110.00 ,,,,,,48101817
700893201214,700893201214,"BASE GIRATORIA ALUMINIO 12""",Herramientas,Bases giratorias,SI,Pieza,,," $1,900.00 ",,,,,,52151600
TOL000842,4895217106746,BASE GIRATORIA PLAST ROSA Ø28x6.5 cm,Herramientas,Bases giratorias,SI,Pieza,,, $158.00 ,,,,,,48101817
4-2876,7501553428769,BASE GIRATORIA PLAST BASE AZUL Ø31 CM,Herramientas,Bases giratorias,SI,Pieza,,, $695.00 ,,,,,,48101817
8022012,902218022012,BASE GIRATORIA PLASTICO CERRADURA CON TAMAÑOS,Herramientas,Bases giratorias,SI,Pieza,,, $548.00 ,,,,,,52151600
8022010,802-2010,BASE GIRATORIA FIBRA DE CARBONO 30X10CM,Herramientas,Bases giratorias,SI,Pieza,,, $790.00 ,,,,,,52151600
COLR0001,COLR0001,BASE GIRATORIA PLAST ROSA COLORISMA,Herramientas,Bases giratorias,SI,Pieza,,, $160.00 ,,,,,,48101817
COLR0002,COLR0002,BASE GIRATORIA PLAST BLANCA COLORISMA,Herramientas,Bases giratorias,SI,Pieza,,, $160.00 ,,,,,,48101817
